FROM,TO,TRIPS
Citrus County,Hillsborough County,502.764496
Citrus County,Pinellas County,404.0242
Citrus County,Pasco County,1749.591675
Citrus County,Hernando County,6426.803223
Citrus County,Citrus County,0
Citrus County,Manatee County,4.418019
Hernando County,Hillsborough County,12493.55957
Hernando County,Pinellas County,3963.986816
Hernando County,Pasco County,45531.14453
Hernando County,Hernando County,0
Hernando County,Citrus County,6426.803223
Hernando County,Manatee County,11.653059
Hillsborough County,Hillsborough County,0
Hillsborough County,Pinellas County,147769.9688
Hillsborough County,Pasco County,133958.7344
Hillsborough County,Hernando County,12493.55957
Hillsborough County,Citrus County,502.764496
Hillsborough County,Manatee County,3056.879395
Manatee County,Hillsborough County,3056.879395
Manatee County,Pinellas County,2084.347412
Manatee County,Pasco County,117.007301
Manatee County,Hernando County,11.65306
Manatee County,Citrus County,4.418019
Manatee County,Manatee County,0
Pasco County,Hillsborough County,133958.7344
Pasco County,Pinellas County,65329.00391
Pasco County,Pasco County,0
Pasco County,Hernando County,45531.14453
Pasco County,Citrus County,1749.591675
Pasco County,Manatee County,117.007301
Pinellas County,Hillsborough County,147769.9688
Pinellas County,Pinellas County,0
Pinellas County,Pasco County,65329.00391
Pinellas County,Hernando County,3963.986816
Pinellas County,Citrus County,404.0242
Pinellas County,Manatee County,2084.347412
